,y_test,prediction
4931,1426.1436,2680.115923524778
4148,1201.769,2519.8403757234764
7423,1836.2764,2258.189981736403
4836,2410.8618,2299.363790247614
944,1549.9824,3068.1551808054855
154,3169.208,3595.8016381908114
7230,2036.6822,2959.476309566763
3472,824.9262,1978.3118142232345
2294,378.1744,1430.5414583921147
2588,1573.9512,1784.998243845835
2087,2474.7786,1869.9744880084158
7318,101.8674,270.01281072514297
6126,894.8352,1611.0418399913733
4164,1491.392,2397.819734358201
6572,1390.1904,2031.888643037466
693,1707.777,1449.7491067858282
1270,1853.5872,2476.5305759115313
5893,2404.8696,2808.6068919318463
1624,5528.1374,3847.3907730416663
5223,12117.56,5357.532843491721
2972,4767.128,3602.8177274211153
6814,185.7582,1834.5060298536196
1555,187.0898,1214.0970634251312
8275,772.328,1547.5399416473863
3760,1324.2762,2113.912097539327
3161,2036.6822,1573.951277544917
5225,6574.775,5549.445158557472
1570,5285.1204,4099.9880584602215
4285,773.6596,863.7729580765439
1835,6615.3888,3823.6440632569515
4266,1022.6688,1438.9514445025784
2740,2797.6916,4075.186939855706
4312,3099.9648,2682.959898158922
2379,1720.4272,3353.500594824693
821,3338.3212,2333.581460395918
5862,1061.951,1451.5010757116393
5108,4567.388,4037.6626178628244
7149,6474.2392,5376.935207175264
2060,1145.176,1900.1273978446354
1571,2804.3496,1719.9503523181468
3879,945.436,1265.9195611399205
1889,1255.033,2290.155982650379
528,5206.556,3703.562591214435
7060,5842.395,3778.7275737052273
5845,3379.6008,2979.6709683707995
5860,477.3786,697.6045939306728
4861,113.8518,-201.5125672890956
1824,992.042,1301.7641067934624
1098,5259.82,4153.350667918565
5530,1704.448,1530.1698321484369
1921,117.8466,95.38718969777119
8517,3608.636,2839.2102785756665
4908,729.051,597.1064374626296
2006,2422.1804,2407.415877649347
98,4363.6532,3789.797953087289
7140,753.0198,737.3623462648068
1003,713.0718,508.9956517814777
3162,683.1108,617.2711230710806
4376,195.7452,-196.59373289350674
3930,3159.8868,3602.7594977860545
5973,1348.245,1457.8651105518509
4276,1803.6522,1255.4239997417628
6789,5932.278,2567.2262941352433
8116,71.9064,-969.0961539692562
2030,2270.378,1703.1162984961777
3484,303.6048,534.2380222993797
233,2603.278,2403.2083307690837
4511,5773.1518,3167.083008503701
852,2691.8294,3250.1582080014236
1364,476.047,473.3090406517164
257,193.082,1632.6478901823175
5809,2460.7968,1621.3922576015912
3810,121.8414,110.53938153572744
379,4274.436,3400.884937102908
7273,412.796,-125.76053007844826
6787,4625.9784,4066.3848390425883
2645,3006.087,2220.5891320679
1589,4950.8888,3557.653121674732
5198,529.311,2411.986684539691
3909,2184.4898,2089.1900905111306
8236,510.0028,2125.225834001681
888,2620.5888,2507.6723692148853
5175,981.3892,698.3506941794792
1580,319.584,594.355902554191
4109,2297.01,2448.6716904674413
4238,1018.674,611.204439729675
140,1402.1748,2411.4370505336237
6770,3942.8676,3028.100285079674
4098,1182.4608,3169.3517773766357
4394,937.4464,3618.6377511162787
543,1398.18,2149.265386858331
3412,1168.479,917.7420851524474
3043,1569.9564,1405.22122794952
6696,6474.2392,5389.597697108341
6565,296.9468,548.2832519872159
2563,2127.8968,3400.994875446543
4824,5683.2688,4054.5688046210867
6335,2616.594,2990.8269591607336
6164,4866.998,2310.673732370189
6095,316.9208,596.7387585218571
4972,355.5372,1500.3440093641616
3535,2994.7684,3350.7871377489055
7490,607.2096,564.8175328278011
49,780.3176,1266.0746872407658
7475,1685.8056,2399.70642328157
380,5375.0034,5189.243970637819
7192,1267.0174,1807.7546082094846
4773,3131.9232,3097.4020750998507
4088,1629.8784,1340.0472206840736
2849,6196.6006,3883.446663312769
6750,3094.6384,3453.3361892299795
2488,3142.576,3161.7219443480844
3812,2972.1312,2564.0687496255086
916,895.501,971.8069292282876
2539,5259.82,3276.370572709329
541,231.6984,1245.3952225461019
7275,2922.1962,2013.6637692525242
6192,922.7988,2527.889732022759
5373,3819.0288,2613.9037902567193
1657,75.9012,340.5615214016305
273,5829.7448,4170.917978004359
7086,392.822,1257.6893011610214
2337,61.2536,-728.4543363694036
2607,3542.056,3037.5652929561743
3299,5396.9748,4122.506809155292
2631,1510.0344,4079.5798952860177
3776,4349.0056,3139.4708977779374
4153,225.7062,1702.2431932996788
4557,2162.5184,1142.6432827783026
5378,1065.28,3386.6218353254603
6000,7393.0432,4999.73908501917
7564,802.9548,859.6016554430141
1035,2190.482,2480.968816642267
8440,2960.1468,2441.6629852924984
6539,3281.0624,3807.5668389632156
3434,3778.415,2515.500235334029
5233,3751.783,1695.321753456627
4061,428.7752,-117.60393811879658
44,373.5138,2042.053841249392
5022,120.5098,51.47615120599903
5085,2916.204,3888.676033493855
3007,3439.5228,2782.478056271148
7336,1830.95,2329.0830530594503
2434,2006.7212,1489.4403866636317
2580,3629.2758,2577.6701700382823
4559,351.5424,952.5479790860963
5615,2375.5744,2340.5120703452385
7019,2466.789,2234.3609294535822
4574,2303.668,1849.0786317035006
4589,1543.3244,2171.9739416118387
7801,2432.8332,2621.1093206968794
8255,2696.49,1610.3604220906357
7646,790.9704,645.9323302435491
6132,5438.9202,3781.035381134347
5663,1174.4712,1537.1151336615956
3637,1166.4816,814.4202831280794
2966,143.8128,470.1053435467268
6577,761.6752,1722.3662086104946
6261,4288.4178,4969.840903942475
4083,1216.4166,4133.050405008584
4415,5219.872,2977.729625454997
2643,5976.2208,3644.4454296636645
1132,1901.5248,2372.585176183323
5686,856.8846,1492.1290580944258
7491,3175.866,2856.437548738316
938,89.2172,-362.48952880078946
7453,509.337,1051.5628603287441
6510,3251.1014,2574.547832615353
234,605.878,706.2037043603318
722,1780.3492,2069.4217061884847
187,778.986,2273.9613108927233
3526,473.3838,1603.5799738581861
4699,6831.108,3712.846375960004
