,y_test,prediction
4931,1426.1436,2680.270939730941
4148,1201.769,2521.5118792478916
7423,1836.2764,2260.1878853426024
4836,2410.8618,2300.3738420005884
944,1549.9824,3067.836528298415
154,3169.208,3595.7812878702443
7230,2036.6822,2958.9831045580286
3472,824.9262,1978.630564565286
2294,378.1744,1433.721816263398
2588,1573.9512,1784.551104590708
2087,2474.7786,1869.6932933866058
7318,101.8674,269.06163562495954
6126,894.8352,1611.1953360205287
4164,1491.392,2398.669972805271
6572,1390.1904,2034.0666082954078
693,1707.777,1449.3299665414918
1270,1853.5872,2476.340198223749
5893,2404.8696,2809.938962837866
1624,5528.1374,3846.651365230924
5223,12117.56,5359.618898914953
2972,4767.128,3600.181929147245
6814,185.7582,1846.2351882754829
1555,187.0898,1216.495995127063
8275,772.328,1547.3532965436043
3760,1324.2762,2115.494933535871
3161,2036.6822,1572.1244031265137
5225,6574.775,5549.953461194778
1570,5285.1204,4101.89798132017
4285,773.6596,863.7519411551579
1835,6615.3888,3822.8930209856326
4266,1022.6688,1438.6591918621866
2740,2797.6916,4076.2574061336436
4312,3099.9648,2681.97179101032
2379,1720.4272,3352.5111656380896
821,3338.3212,2335.1889658118534
5862,1061.951,1449.4186981612206
5108,4567.388,4038.383072867822
7149,6474.2392,5378.80878506287
2060,1145.176,1900.9973001901526
1571,2804.3496,1718.130169890984
3879,945.436,1265.4583925815473
1889,1255.033,2291.4890126423925
528,5206.556,3703.82436286978
7060,5842.395,3779.6117465792577
5845,3379.6008,2980.807978454881
5860,477.3786,699.0055371386456
4861,113.8518,-203.1596761761548
1824,992.042,1302.182391417592
1098,5259.82,4153.391942142527
5530,1704.448,1530.4656343548095
1921,117.8466,95.64082402694339
8517,3608.636,2838.061010530987
4908,729.051,598.1961669187252
2006,2422.1804,2408.440106661038
98,4363.6532,3790.4568759602844
7140,753.0198,736.4684679276278
1003,713.0718,506.94421364628
3162,683.1108,616.4378303731025
4376,195.7452,-194.19328428252788
3930,3159.8868,3603.082594838179
5973,1348.245,1457.1644167214984
4276,1803.6522,1254.1457472840607
6789,5932.278,2565.8129666870836
8116,71.9064,-966.7845779175423
2030,2270.378,1703.4617447348658
3484,303.6048,533.8191515076271
233,2603.278,2402.7386800233944
4511,5773.1518,3169.1858330719233
852,2691.8294,3248.5869230917124
1364,476.047,472.2810430154325
257,193.082,1630.983700774463
5809,2460.7968,1619.9187572094543
3810,121.8414,111.65443644403649
379,4274.436,3401.473753327282
7273,412.796,-124.2546676975644
6787,4625.9784,4067.1297307738805
2645,3006.087,2219.779236680908
1589,4950.8888,3557.702679096703
5198,529.311,2408.6744368077143
3909,2184.4898,2087.3612392815294
8236,510.0028,2125.2282896063
888,2620.5888,2505.563349133472
5175,981.3892,697.0485465968954
1580,319.584,592.2756611538507
4109,2297.01,2450.6589653773626
4238,1018.674,610.5234600302548
140,1402.1748,2411.2782821129867
6770,3942.8676,3030.723877705993
4098,1182.4608,3170.5263000438026
4394,937.4464,3620.0901881303707
543,1398.18,2148.1939002538006
3412,1168.479,914.8049796093279
3043,1569.9564,1405.5847878959635
6696,6474.2392,5391.467613131662
6565,296.9468,547.3368104259657
2563,2127.8968,3399.434078283559
4824,5683.2688,4054.8766774339183
6335,2616.594,2991.225992906069
6164,4866.998,2311.9817320542916
6095,316.9208,595.6588423434296
4972,355.5372,1497.8253981558485
3535,2994.7684,3353.045538087972
7490,607.2096,565.1826457114134
49,780.3176,1263.9286614007733
7475,1685.8056,2400.760578690625
380,5375.0034,5191.320204388742
7192,1267.0174,1810.0365775208447
4773,3131.9232,3096.890471110266
4088,1629.8784,1337.475669073253
2849,6196.6006,3883.129007546965
6750,3094.6384,3452.8756421589887
2488,3142.576,3161.2790671997773
3812,2972.1312,2564.0824134088843
916,895.501,970.1387666477572
2539,5259.82,3275.9705496658335
541,231.6984,1243.3632862778693
7275,2922.1962,2012.9065329541095
6192,922.7988,2528.744151994395
5373,3819.0288,2615.350423435264
1657,75.9012,340.3663211399909
273,5829.7448,4171.895916021618
7086,392.822,1259.4278940844843
2337,61.2536,-728.7141792702521
2607,3542.056,3038.3693352863756
3299,5396.9748,4124.286525907282
2631,1510.0344,4081.1219723079475
3776,4349.0056,3142.0487499198243
4153,225.7062,1702.6678908740082
4557,2162.5184,1142.6580700245377
5378,1065.28,3389.1512317834595
6000,7393.0432,4998.315473324097
7564,802.9548,859.3958089550845
1035,2190.482,2478.621457129778
8440,2960.1468,2442.4374000344706
6539,3281.0624,3808.300167271821
3434,3778.415,2516.2429383143453
5233,3751.783,1695.3851000079055
4061,428.7752,-116.21495062520398
44,373.5138,2041.786103342727
5022,120.5098,49.00935467418776
